hrg_code,hrg_name,non_elec_cost
ED26A,Complex Coronary Artery Bypass Graft with CC Score 10+,18017
ED26B,Complex Coronary Artery Bypass Graft with CC Score 5-9,14160
ED26C,Complex Coronary Artery Bypass Graft with CC Score 0-4,12811
ED27A,Major Coronary Artery Bypass Graft with CC Score 10+,17296
ED27B,Major Coronary Artery Bypass Graft with CC Score 5-9,13527
ED27C,Major Coronary Artery Bypass Graft with CC Score 0-4,12735
ED28A,Standard Coronary Artery Bypass Graft with CC Score 10+,13316
ED28B,Standard Coronary Artery Bypass Graft with CC Score 5-9,11489
ED28C,Standard Coronary Artery Bypass Graft with CC Score 0-4,11071
ED30A,"Complex, Other Operations on Heart or Pericardium, with CC Score 10+",13399
ED30B,"Complex, Other Operations on Heart or Pericardium, with CC Score 5-9",9332
ED30C,"Complex, Other Operations on Heart or Pericardium, with CC Score 0-4",8030
ED31A,"Standard, Other Operations on Heart or Pericardium, with CC Score 10+",10053
ED31B,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",5833
ED31C,"Standard, Other Operations on Heart or Pericardium, with CC Score 0-4",4675
EY01A,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 9+",10511
EY01B,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 0-8",8289
EY02A,Implantation of Cardioverter Defibrillator with CC Score 9+,7420
EY02B,Implantation of Cardioverter Defibrillator with CC Score 0-8,5936
EY03Z,Implantation of Biventricular Pacemaker with Other Percutaneous Intervention,13384
EY04A,Implantation of Biventricular Pacemaker with CC Score 6+,13089
EY04B,Implantation of Biventricular Pacemaker with CC Score 0-5,10538
EY05A,"Implantation of Dual-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+",8675
EY05B,"Implantation of Dual-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",6042
EY06A,Implantation of Dual-Chamber Pacemaker with CC Score 12+,11273
EY06B,Implantation of Dual-Chamber Pacemaker with CC Score 9-11,7885
EY06C,Implantation of Dual-Chamber Pacemaker with CC Score 6-8,6332
EY06D,Implantation of Dual-Chamber Pacemaker with CC Score 3-5,4998
EY06E,Implantation of Dual-Chamber Pacemaker with CC Score 0-2,3772
EY07A,"Implantation of Single-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+",7863
EY07B,"Implantation of Single-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",5231
EY08A,Implantation of Single-Chamber Pacemaker with CC Score 12+,11226
EY08B,Implantation of Single-Chamber Pacemaker with CC Score 9-11,7610
EY08C,Implantation of Single-Chamber Pacemaker with CC Score 6-8,5952
EY08D,Implantation of Single-Chamber Pacemaker with CC Score 3-5,4525
EY08E,Implantation of Single-Chamber Pacemaker with CC Score 0-2,3489
EY11Z,Testing of Cardiac Pacemaker or Cardioverter Defibrillator,405
EY12A,Implantation of Electrocardiography Loop Recorder with CC Score 3+,4795
EY12B,Implantation of Electrocardiography Loop Recorder with CC Score 0-2,3760
EY13Z,Removal of Electrocardiography Loop Recorder,756
EY14A,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with Extraction or Major Open Procedure, with CC Score 9+",29123
EY14B,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with Extraction or Major Open Procedure, with CC Score 0-8",18068
EY15A,"Implantation of Cardioverter Defibrillator, with Extraction or Major Open Procedure, with CC Score 9+",25683
EY15B,"Implantation of Cardioverter Defibrillator, with Extraction or Major Open Procedure, with CC Score 0-8",15465
EY16A,"Extraction of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 10+",13859
EY16B,"Extraction of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-9",8139
EY17A,"Explantation or Attention to, Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",4946
EY17B,"Explantation or Attention to, Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",2651
EY20A,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 8+",24390
EY20B,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 0-7",14906
EY21A,"Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 8+",19746
EY21B,"Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 0-7",10217
EY22A,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,12317
EY22B,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,7096
EY22C,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,4568
EY23A,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,7596
EY23B,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,4762
EY23C,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,3277
EY30A,Complex Percutaneous Transluminal Ablation of Heart with CC Score 3+,9933
EY30B,Complex Percutaneous Transluminal Ablation of Heart with CC Score 0-2,5964
EY31A,Standard Percutaneous Transluminal Ablation of Heart with CC Score 3+,6900
EY31B,Standard Percutaneous Transluminal Ablation of Heart with CC Score 0-2,3939
EY32A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 2+,4164
EY32B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-1,3452
EY40A,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,7048
EY40B,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,5088
EY40C,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,3883
EY40D,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,3297
EY41A,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,6825
EY41B,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,4406
EY41C,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,3454
EY41D,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,2940
EY42A,Complex Cardiac Catheterisation with CC Score 7+,5713
EY42B,Complex Cardiac Catheterisation with CC Score 4-6,3286
EY42C,Complex Cardiac Catheterisation with CC Score 2-3,2768
EY42D,Complex Cardiac Catheterisation with CC Score 0-1,2503
EY43A,Standard Cardiac Catheterisation with CC Score 13+,9375
EY43B,Standard Cardiac Catheterisation with CC Score 10-12,6209
EY43C,Standard Cardiac Catheterisation with CC Score 7-9,4658
EY43D,Standard Cardiac Catheterisation with CC Score 4-6,3470
EY43E,Standard Cardiac Catheterisation with CC Score 2-3,2711
EY43F,Standard Cardiac Catheterisation with CC Score 0-1,2181
EY44A,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,9615
EY44B,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,7129
EY44C,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,5748
EY44D,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,4689
EY50Z,Complex Echocardiogram,1138
EY51Z,Electrocardiogram Monitoring or Stress Testing,446
FD01A,"Gastrointestinal Infections with Multiple Interventions, with CC Score 4+",9736
FD01B,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3",5287
FD01C,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",6927
FD01D,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4",3954
FD01E,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",2964
FD01F,"Gastrointestinal Infections without Interventions, with CC Score 8+",4421
FD01G,"Gastrointestinal Infections without Interventions, with CC Score 5-7",2975
FD01H,"Gastrointestinal Infections without Interventions, with CC Score 2-4",1536
FD01J,"Gastrointestinal Infections without Interventions, with CC Score 0-1",903
FD02A,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 3+",10873
FD02B,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2",6244
FD02C,"Inflammatory Bowel Disease with Single Intervention, with CC Score 4+",6347
FD02D,"Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3",3815
FD02E,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",3598
FD02F,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",2777
FD02G,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2",2185
FD02H,"Inflammatory Bowel Disease without Interventions, with CC Score 0",1860
FD03A,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 5+",7734
FD03B,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",3992
FD03C,"Gastrointestinal Bleed with Single Intervention, with CC Score 8+",5880
FD03D,"Gastrointestinal Bleed with Single Intervention, with CC Score 5-7",3508
FD03E,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4",2572
FD03F,"Gastrointestinal Bleed without Interventions, with CC Score 9+",4003
FD03G,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",2260
FD03H,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",823
FD04A,"Nutritional Disorders with Interventions, with CC Score 2+",10570
FD04B,"Nutritional Disorders with Interventions, with CC Score 0-1",6256
FD04C,"Nutritional Disorders without Interventions, with CC Score 6+",5519
FD04D,"Nutritional Disorders without Interventions, with CC Score 2-5",3877
FD04E,"Nutritional Disorders without Interventions, with CC Score 0-1",1759
FD05A,Abdominal Pain with Interventions,2805
FD05B,Abdominal Pain without Interventions,595
FD10A,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 8+",11094
FD10B,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 5-7",7127
FD10C,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 3-4",5529
FD10D,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 0-2",4179
FD10E,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 9+",7400
FD10F,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 5-8",4453
FD10G,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 3-4",3436
FD10H,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 0-2",2883
FD10J,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 11+",5347
FD10K,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 6-10",3392
FD10L,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 3-5",2128
FD10M,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 0-2",840
FD11A,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 7+",10335
FD11B,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 3-6",7351
FD11C,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 0-2",5874
FD11D,"Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 6+",6195
FD11E,"Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 3-5",4088
FD11F,"Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 0-2",3352
FD11G,"Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 9+",5292
FD11H,"Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 5-8",3930
FD11J,"Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 3-4",3049
FD11K,"Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 0-2",1901
FE01Z,"Complex Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures",6039
FE02A,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",4913
FE02B,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",3317
FE02C,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",2204
FE02F,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 18 years and under",2084
FE03A,"Intermediate Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over",1060
FE03B,"Intermediate Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 18 years and under",1627
FE10A,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 7+,10303
FE10B,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 4-6,6460
FE10C,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 1-3,4694
FE10D,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 0,3105
FE11A,"Endoscopic, Sclerotherapy or Rubber Band Ligation, of Lesion of Upper Gastrointestinal Tract, with CC Score 9+",9986
FE11B,"Endoscopic, Sclerotherapy or Rubber Band Ligation, of Lesion of Upper Gastrointestinal Tract, with CC Score 6-8",6165
FE11C,"Endoscopic, Sclerotherapy or Rubber Band Ligation, of Lesion of Upper Gastrointestinal Tract, with CC Score 3-5",4428
FE11D,"Endoscopic, Sclerotherapy or Rubber Band Ligation, of Lesion of Upper Gastrointestinal Tract, with CC Score 0-2",3377
FE12A,"Endoscopic Insertion of Gastrostomy Tube, 19 years and over",1216
FE12B,"Endoscopic Insertion of Gastrostomy Tube, 18 years and under",1999
FE13Z,"Endoscopic Insertion of, Gastrojejunostomy or Jejunostomy Tube",1283
FE20Z,"Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",1444
FE21Z,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over",847
FE22Z,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",759
FE23C,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, between 5 and 18 years",1031
FE23D,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, 4 years and under",1385
FE30Z,"Therapeutic Colonoscopy, 19 years and over",930
FE31Z,"Diagnostic Colonoscopy with Biopsy, 19 years and over",878
FE32Z,"Diagnostic Colonoscopy, 19 years and over",794
FE33Z,"Therapeutic Flexible Sigmoidoscopy, 19 years and over",995
FE34Z,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",954
FE35Z,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",859
FE36Z,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over",182
FE37C,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, between 5 and 18 years",1341
FE37D,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, 4 years and under",1343
FE40Z,"Therapeutic, Upper Gastrointestinal Tract Endoscopic Procedure with Colonoscopy, 19 years and over",790
FE41Z,"Diagnostic, Upper Gastrointestinal Tract Endoscopic Procedure with Colonoscopy, with Biopsy, 19 years and over",725
FE42Z,"Diagnostic, Upper Gastrointestinal Tract Endoscopic Procedure with Colonoscopy, 19 years and over",627
FE43Z,"Therapeutic, Upper Gastrointestinal Tract Endoscopic Procedure with Sigmoidoscopy, 19 years and over",897
FE44Z,"Diagnostic, Upper Gastrointestinal Tract Endoscopic Procedure with Sigmoidoscopy, with Biopsy, 19 years and over",1557
FE45Z,"Diagnostic, Upper Gastrointestinal Tract Endoscopic Procedure with Sigmoidoscopy, 19 years and over",1557
FE46Z,"Upper Gastrointestinal Tract Endoscopic Procedure, with Colonoscopy or Sigmoidoscopy, 18 years and under",1948
FE50A,"Wireless Capsule Endoscopy, 19 years and over",1013
FE50B,"Wireless Capsule Endoscopy, 18 years and under",1796
FF01A,"Very Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 6+",20467
FF01B,"Very Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 3-5",14570
FF01C,"Very Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 0-2",10480
FF02A,"Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 4+",13779
FF02B,"Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 2-3",8842
FF02C,"Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 0-1",6620
FF03A,"Very Complex or Complex, Oesophageal, Stomach or Duodenum Procedures, 18 years and under, with CC Score 2+",14532
FF03B,"Very Complex or Complex, Oesophageal, Stomach or Duodenum Procedures, 18 years and under, with CC Score 0-1",7825
FF04A,"Major, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 7+",11234
FF04B,"Major, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 4-6",6850
FF04C,"Major, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 2-3",5646
FF04D,"Major, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 0-1",5646
FF04E,"Major, Oesophageal, Stomach or Duodenum Procedures, between 2 and 18 years, with CC Score 1+",12306
FF04F,"Major, Oesophageal, Stomach or Duodenum Procedures, between 2 and 18 years, with CC Score 0",6799
FF04G,"Major, Oesophageal, Stomach or Duodenum Procedures, 1 year and under, with CC Score 1+",13579
FF04H,"Major, Oesophageal, Stomach or Duodenum Procedures, 1 year and under, with CC Score 0",4475
FF05Z,"Intermediate Upper Gastrointestinal Tract Procedures, 19 years and over",492
FF10Z,Complex Surgical Procedures for Obesity,10520
FF11Z,Major Surgical Procedures for Obesity,8355
FF12Z,Sleeve Gastrectomy for Obesity,6871
FF13Z,Gastric Band Procedures for Obesity,4131
FF14Z,Adjustment of Gastric Band for Obesity,855
FF20A,"Complex Small Intestine Procedures, 19 years and over, with CC Score 7+",21532
FF20B,"Complex Small Intestine Procedures, 19 years and over, with CC Score 3-6",14728
FF20C,"Complex Small Intestine Procedures, 19 years and over, with CC Score 0-2",11120
FF20D,"Complex Small Intestine Procedures, 18 years and under",23337
FF21A,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 8+",12712
FF21B,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 5-7",9462
FF21C,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4",7651
FF21D,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",6293
FF22A,"Major Small Intestine Procedures, 19 years and over, with CC Score 7+",13614
FF22B,"Major Small Intestine Procedures, 19 years and over, with CC Score 4-6",8453
FF22C,"Major Small Intestine Procedures, 19 years and over, with CC Score 2-3",6759
FF22D,"Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",5579
FF23A,"Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 2+",10395
FF23B,"Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 0-1",8689
FF23C,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 3+",12406
FF23D,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 1-2",5491
FF23E,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 0",4592
FF30A,Very Complex Large Intestine Procedures with CC Score 9+,19466
FF30B,Very Complex Large Intestine Procedures with CC Score 6-8,15494
FF30C,Very Complex Large Intestine Procedures with CC Score 3-5,13842
FF30D,Very Complex Large Intestine Procedures with CC Score 0-2,11417
FF31A,"Complex Large Intestine Procedures, 19 years and over, with CC Score 9+",14142
FF31B,"Complex Large Intestine Procedures, 19 years and over, with CC Score 6-8",11460
FF31C,"Complex Large Intestine Procedures, 19 years and over, with CC Score 3-5",9836
FF31D,"Complex Large Intestine Procedures, 19 years and over, with CC Score 0-2",8445
FF32A,"Proximal Colon Procedures, 19 years and over, with CC Score 6+",11294
FF32B,"Proximal Colon Procedures, 19 years and over, with CC Score 3-5",9002
FF32C,"Proximal Colon Procedures, 19 years and over, with CC Score 0-2",7130
FF33A,"Distal Colon Procedures, 19 years and over, with CC Score 3+",10349
FF33B,"Distal Colon Procedures, 19 years and over, with CC Score 0-2",7654
FF34A,"Major Large Intestine Procedures, 19 years and over, with CC Score 3+",8420
FF34B,"Major Large Intestine Procedures, 19 years and over, with CC Score 1-2",5692
FF34C,"Major Large Intestine Procedures, 19 years and over, with CC Score 0",3672
FF35A,"Complex or Major, Large Intestine Procedures, between 2 and 18 years, with CC Score 1+",12108
FF35B,"Complex or Major, Large Intestine Procedures, between 2 and 18 years, with CC Score 0",7533
FF35C,"Complex or Major, Large Intestine Procedures, 1 year and under, with CC Score 1+",11322
FF35D,"Complex or Major, Large Intestine Procedures, 1 year and under, with CC Score 0",6912
FF36Z,"Intermediate Large Intestine Procedures, 19 years and over",1006
FF37A,"Appendicectomy Procedures, 19 years and over, with CC Score 5+",7065
FF37B,"Appendicectomy Procedures, 19 years and over, with CC Score 3-4",4764
FF37C,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2",3820
FF37D,"Appendicectomy Procedures, 19 years and over, with CC Score 0",3325
FF37E,"Appendicectomy Procedures, 18 years and under, with CC Score 3+",6522
FF37F,"Appendicectomy Procedures, 18 years and under, with CC Score 1-2",4312
FF37G,"Appendicectomy Procedures, 18 years and under, with CC Score 0",3470
FF40A,"Major Anal Procedures, 19 years and over, with CC Score 1+",3873
FF40B,"Major Anal Procedures, 19 years and over, with CC Score 0",1992
FF40C,"Major Anal Procedures, 18 years and under",3257
FF41A,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+",2261
FF41B,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2",1826
FF41C,"Intermediate Anal Procedures, 19 years and over, with CC Score 0",1444
FF41D,"Intermediate Anal Procedures, 18 years and under",1578
FF42Z,Minor Anal Procedures,1158
FF43Z,Minimal Anal Procedures,604
FF47Z,Insertion of Neurostimulator for Treatment of Faecal Incontinence,2068
FF48Z,Insertion of Neurostimulator Electrodes for Treatment of Faecal Incontinence,2621
FF50A,Complex General Abdominal Procedures with CC Score 6+,16626
FF50B,Complex General Abdominal Procedures with CC Score 3-5,10585
FF50C,Complex General Abdominal Procedures with CC Score 0-2,7027
FF51A,"Major General Abdominal Procedures, 19 years and over, with CC Score 10+",14126
FF51B,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",9238
FF51C,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",6490
FF51D,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",4893
FF51E,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",3728
FF51F,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",10781
FF51G,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",5280
FF51H,"Major General Abdominal Procedures, 1 year and under, with CC Score 2+",8951
FF51J,"Major General Abdominal Procedures, 1 year and under, with CC Score 0-1",6027
FF52A,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+",7358
FF52B,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",4311
FF52C,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",3073
FF52D,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",3276
FF53A,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",835
FF53B,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",1300
FF60A,Complex Hernia Procedures with CC Score 5+,8608
FF60B,Complex Hernia Procedures with CC Score 3-4,5561
FF60C,Complex Hernia Procedures with CC Score 1-2,4519
FF60D,Complex Hernia Procedures with CC Score 0,3773
FF61A,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",6327
FF61B,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3",4029
FF61C,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",3133
FF61D,"Abdominal Hernia Procedures, 18 years and under",3106
FF62A,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+",6730
FF62B,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5",3980
FF62C,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2",3219
FF62D,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0",2866
FF62E,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years",2762
FF62F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",3589
FF63A,"Herniotomy Procedures, 2 years and over",1506
FF63B,"Herniotomy Procedures, 1 year and under",2937
FF70A,"Multiple Very Complex Gastrointestinal Tract Procedures, 19 years and over, with CC Score 7+",28994
FF70B,"Multiple Very Complex Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0-6",20718
FF70C,"Multiple Very Complex Gastrointestinal Tract Procedures, 18 years and under",24901
GA03C,"Very Complex, Hepatobiliary or Pancreatic Procedures, with CC Score 4+",21855
GA03D,"Very Complex, Hepatobiliary or Pancreatic Procedures, with CC Score 2-3",15376
GA03E,"Very Complex, Hepatobiliary or Pancreatic Procedures, with CC Score 0-1",13354
GA04C,"Complex, Hepatobiliary or Pancreatic Procedures, with CC Score 3+",18662
GA04D,"Complex, Hepatobiliary or Pancreatic Procedures, with CC Score 0-2",10350
GA05C,"Very Major, Hepatobiliary or Pancreatic Procedures, with CC Score 3+",11676
GA05D,"Very Major, Hepatobiliary or Pancreatic Procedures, with CC Score 0-2",6589
GA06C,"Major, Hepatobiliary or Pancreatic Procedures, with CC Score 2+",10282
GA06D,"Major, Hepatobiliary or Pancreatic Procedures, with CC Score 0-1",6242
GA07C,"Intermediate, Hepatobiliary or Pancreatic Procedures, with CC Score 3+",8488
GA07D,"Intermediate, Hepatobiliary or Pancreatic Procedures, with CC Score 1-2",6499
GA07E,"Intermediate, Hepatobiliary or Pancreatic Procedures, with CC Score 0",5509
GA10G,"Open or Laparoscopic, Cholecystectomy, 18 years and under",5463
GA10H,"Laparoscopic Cholecystectomy, 19 years and over, with CC Score 4+",7023
GA10J,"Laparoscopic Cholecystectomy, 19 years and over, with CC Score 1-3",5184
GA10K,"Laparoscopic Cholecystectomy, 19 years and over, with CC Score 0",4386
GA10L,"Open Cholecystectomy, 19 years and over, with CC Score 3+",8154
GA10M,"Open Cholecystectomy, 19 years and over, with CC Score 1-2",6251
GA10N,"Open Cholecystectomy, 19 years and over, with CC Score 0",5290
GA11Z,Pancreatic Necrosectomy,28826
GA13A,"Minor, Hepatobiliary or Pancreatic Procedures, with CC Score 1+",6093
GA13B,"Minor, Hepatobiliary or Pancreatic Procedures, with CC Score 0",3646
GB05F,Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 5+,8979
GB05G,Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 2-4,5533
GB05H,Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 0-1,4437
GB06E,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 6+,7377
GB06F,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 4-5,5125
GB06G,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 2-3,4215
GB06H,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 0-1,3474
GB09D,Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 5+,9849
GB09E,Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 2-4,5593
GB09F,Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 0-1,4532
GB10Z,"Diagnostic Endoscopic Retrograde Cholangiopancreatography, with Biopsy or Cytology",1375
GB11Z,Diagnostic Endoscopic Retrograde Cholangiopancreatography,1375
GB12Z,"Endoscopic Ultrasound Examination, of Hepatobiliary or Pancreatic Duct, with Biopsy or Cytology",821
